Continent, Country, Cases, Color
Africa, South Africa, 611450, #80cbc4
Africa, Egypt, 97 478, #80cbc4
Africa, Morocco, 53 252, #80cbc4
Africa, Nigeria, 52 548, #80cbc4
Africa, Ghana, 43 622, #80cbc4
Asia, India, 3167323, #80cbc4
Asia, Iran, 358 905, #80cbc4
Asia, Saudi Arabia, 308 654, #80cbc4
Asia, Bangladesh, 297 083, #80cbc4
Asia, Pakistan, 293 711, #80cbc4
America, United States, 5740909, #80cbc4
America, Brazil, 3 622 861, #80cbc4
America, Peru, 600 438, #80cbc4
America, Mexico, 563 705, #80cbc4
America, Colombia, 551 696, #80cbc4
Europe, Russia, 961493, #80cbc4
Europe, Spain, 405 436, #80cbc4
Europe, United Kingdom, 326 614, #80cbc4
Europe, Italy, 260 298, #80cbc4
Europe, France, 244 854, #80cbc4
Oceania, Australia, 24916, #80cbc4
Oceania, New Zealand, 1 339, #80cbc4
Oceania, Guam, 907, #80cbc4
Oceania, Papua New Guinea, 401, #80cbc4
Oceania, French Polynesia, 310, #80cbc4
